word_input            original_output       pattern_output      
whey                  whei                  whey                
whoremasterly         whoremasterli         whoremast           
why                   why                   whi                 
wildly                wildli                wild                
willingly             willingli             will                
winterly              winterli              winter              
wishtly               wishtli               wisht               
wittingly             wittingli             wit                 
wolsey                wolsei                wolsey              
womanly               womanli               woman               
wondrous              wondrou               wondrous            
wooingly              wooingli              woo                 
woolsey               woolsei               woolsey             
workmanly             workmanli             workman             
worldly               worldli               world               
wrongly               wrongli               wrong               
wry                   wry                   wri                 
wrying                wry                   wri                 
yes                   ye                    yes                 
yesterday             yesterdai             yesterday           
yesterdays            yesterdai             yesterday           
yongrey               yongrei               yongrey             
youngly               youngli               young               
zealous               zealou                zealous             
